Timestamp, pos_x, pos_y, pos_z, cam_qx, cam_qy, cam_qz, cam_qw, ss_qx, ss_qy, ss_qz, ss_qw, gyro_x, gyro_y, gyro_z, acc_x, acc_y, acc_z, mag_qw, mag_qx, mag_qy, stillness
0, -0.2150148, -0.3276253, 1.028506, 0.0242829, -0.004579985, -0.0296832, 0.9992539, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, -0.2150088, -0.3276246, 1.028512, 0.02425005, -0.004592067, -0.02968195, 0.9992547, 0, 0, 0, 0, 0, 0, 0, -0.1049146, 1.008274, 0.01475908, -0.002611675, -0.300047, 0.3173124, 0.9846998
15, -0.2149989, -0.3276121, 1.028515, 0.02431226, -0.00458913, -0.02970221, 0.9992526, 0.01965788, -0.1256534, -0.004266282, 0.9918702, -0.0353485, -0.0008893944, -0.002980933, -0.1049146, 1.008274, 0.01475908, -0.002611675, -0.300047, 0.3173124, 0.9846998
24, -0.2149894, -0.3275988, 1.028504, 0.02427578, -0.004591393, -0.02969686, 0.9992536, -2.584397E-05, 4.323083E-06, -6.17234E-06, 1, -0.02924003, 0.006440773, -0.01764126, -0.107865, 1.011726, 0.01298169, -0.003512718, -0.3019191, 0.3164057, 0.969831
32, -0.2149964, -0.3276139, 1.028521, 0.02426604, -0.004593018, -0.02969641, 0.9992539, -2.584397E-05, 4.323083E-06, -6.17234E-06, 1, -0.02313156, -0.006997867, -0.006646017, -0.1044175, 1.008975, 0.0132756, 0.002036077, -0.2992782, 0.3154814, 0.9821969
41, -0.2150055, -0.3276182, 1.028505, 0.02427718, -0.004582057, -0.02966907, 0.9992545, -3.224332E-05, 9.066891E-06, -3.655546E-05, 0.9999999, -0.02679664, -0.01432803, -0.0103111, -0.1103374, 1.009075, 0.01203081, -0.004441156, -0.3009287, 0.3164079, 0.9793578
49, -0.2150149, -0.3276138, 1.028509, 0.02427952, -0.004541331, -0.02969107, 0.9992539, 4.142011E-05, -2.013415E-05, -6.351317E-05, 0.9999999, -0.02679664, -0.01432803, -0.0103111, -0.1103374, 1.009075, 0.01203081, -0.004441156, -0.3009287, 0.3164079, 0.9793578
58, -0.2150164, -0.3276132, 1.028524, 0.02426668, -0.004582514, -0.02968295, 0.9992543, 5.225698E-05, -7.416448E-05, -5.548366E-05, 0.9999999, -0.03046173, -0.006997867, -0.006646017, -0.1041807, 1.005322, 0.01431193, 0.001192603, -0.3040149, 0.3118472, 0.9798904
66, -0.2150053, -0.3276201, 1.028509, 0.02424914, -0.004584933, -0.02968074, 0.9992548, 4.615239E-05, -8.186523E-05, -6.227288E-05, 1, -0.02679664, 0.003997383, -0.01397618, -0.1073761, 1.00926, 0.01203541, 0.001192603, -0.3040149, 0.3118472, 0.9798904
75, -0.2149989, -0.3276158, 1.028502, 0.02428928, -0.00458563, -0.02970147, 0.9992532, -3.233668E-05, -8.832046E-05, -7.779588E-05, 1, -0.03168342, 0.002775689, -0.01886296, -0.1058867, 1.011386, 0.009059245, -0.001672252, -0.3000847, 0.3164005, 0.9721852
83, -0.2150008, -0.327612, 1.028525, 0.0242907, -0.004575443, -0.029672, 0.9992541, -3.624847E-05, -5.080854E-05, -7.960538E-05, 0.9999999, -0.03168342, -0.009441256, -0.007867711, -0.1066475, 1.005867, 0.01478955, -0.005388782, -0.2989835, 0.3173192, 0.9935489
91, -0.215006, -0.3276139, 1.02852, 0.02427326, -0.004590225, -0.02967381, 0.9992543, -3.624847E-05, -5.080854E-05, -7.960538E-05, 0.9999999, -0.009692922, -0.005776173, -0.01764126, -0.1066317, 1.010452, 0.01103699, -0.004426068, -0.3009298, 0.3154984, 0.9755087
99, -0.2150106, -0.3276239, 1.028511, 0.0242743, -0.004591068, -0.02969945, 0.9992536, -7.984065E-05, -5.527167E-05, -0.0001129319, 1, -0.009692922, -0.005776173, -0.01764126, -0.1066317, 1.010452, 0.01103699, -0.004426068, -0.3009298, 0.3154984, 0.9755087
108, -0.2150142, -0.3276238, 1.028519, 0.02429647, -0.004593358, -0.02967119, 0.9992539, -6.642682E-05, -7.528893E-05, -0.0001504084, 0.9999999, -0.02924003, -0.009441256, -0.01153279, -0.1063944, 1.010303, 0.0179211, -0.0007328284, -0.3001223, 0.3154888, 0.9758106
115, -0.2150017, -0.3276102, 1.028508, 0.02429542, -0.004589347, -0.02968244, 0.9992536, -0.000103893, -0.0001019086, -0.0001663481, 0.9999999, -0.02679664, 0.002775689, -0.01275449, -0.1088607, 1.008334, 0.0135197, -0.003463353, -0.3028761, 0.3136776, 0.9828649
125, -0.2149993, -0.3276051, 1.028518, 0.02425825, -0.004568795, -0.02968687, 0.9992544, -0.0001372909, -3.137265E-05, -0.0001558824, 1, -0.01824478, -0.0008893944, -0.01641957, -0.1004811, 1.005766, 0.01628073, 0.000142144, -0.2992019, 0.3182144, 0.9963847
133, -0.2149975, -0.327619, 1.02851, 0.02425301, -0.004580982, -0.02968967, 0.9992544, -0.0001094935, -2.760615E-05, -0.0001538433, 1, -0.04023528, -0.0008893944, -0.006646017, -0.1041569, 1.012073, 0.008316286, -0.003440061, -0.3047848, 0.3127687, 0.9701896
141, -0.215006, -0.3276238, 1.028513, 0.02425677, -0.004586356, -0.0296873, 0.9992543, -0.0001094935, -2.760615E-05, -0.0001538433, 1, -0.04023528, -0.0008893944, -0.006646017, -0.1051735, 1.003654, 0.01580814, -0.006263752, -0.2999039, 0.3145935, 1
149, -0.2150113, -0.3276147, 1.028515, 0.02429775, -0.004594177, -0.02967421, 0.9992537, -0.0001747785, 6.586779E-07, -0.000150192, 1, -0.02313156, 0.0003322999, -0.01153279, -0.1051735, 1.003654, 0.01580814, -0.006263752, -0.2999039, 0.3145935, 1
176, -0.2150064, -0.3276021, 1.028501, 0.02429914, -0.004575873, -0.02968149, 0.9992536, -0.0001561341, 6.444752E-05, -9.010429E-05, 1, -0.02313156, -0.004554478, -0.001759239, -0.103191, 1.007026, 0.01527284, -0.002569193, -0.3029106, 0.3154942, 0.9903412
182, -0.2150022, -0.327623, 1.02851, 0.02424772, -0.004606006, -0.02966416, 0.9992552, -0.0001464174, 4.609406E-05, -4.227937E-05, 0.9999999, -0.04145698, -0.01188464, -0.01153279, -0.1103412, 1.008866, 0.01449144, 0.0001833052, -0.2982512, 0.3154859, 0.9800568
187, -0.2149943, -0.3276163, 1.02851, 0.02429071, -0.004593039, -0.02968116, 0.9992537, -0.0001783308, 8.405617E-05, -3.162352E-05, 1, -0.04145698, -0.01188464, -0.01153279, -0.1103412, 1.008866, 0.01449144, 0.0001833052, -0.2982512, 0.3154859, 0.9800568
191, -0.2149968, -0.3276098, 1.028513, 0.0242833, -0.004605734, -0.02969311, 0.9992535, -0.0001783308, 8.405617E-05, -3.162352E-05, 1, -0.0365702, 0.005219078, -0.004202627, -0.105158, 1.009245, 0.01400719, -0.00349763, -0.3019202, 0.3154963, 0.9807792
196, -0.2150069, -0.3276123, 1.028515, 0.02426858, -0.004575149, -0.02968409, 0.9992543, -0.000238463, 6.350875E-05, -4.885206E-05, 0.9999999, -0.0365702, 0.005219078, -0.004202627, -0.105158, 1.009245, 0.01400719, -0.00349763, -0.3019202, 0.3154963, 0.9807792
201, -0.2150148, -0.3276261, 1.028522, 0.0242833, -0.004614634, -0.02967638, 0.9992539, -0.000238463, 6.350875E-05, -4.885206E-05, 0.9999999, -0.0365702, 0.005219078, -0.004202627, -0.1083614, 1.010766, 0.01348585, -0.004441156, -0.3009287, 0.3164079, 0.9734102
207, -0.2150191, -0.3276265, 1.028518, 0.02428744, -0.004594192, -0.02968385, 0.9992536, -0.0002947259, 7.95339E-05, -6.092357E-05, 0.9999999, -0.02435326, -0.005776173, -0.01764126, -0.1083614, 1.010766, 0.01348585, -0.004441156, -0.3009287, 0.3164079, 0.9734102
216, -0.2150194, -0.3276144, 1.028517, 0.02427696, -0.00457837, -0.0296642, 0.9992546, -0.0003408499, 0.0001055871, -3.441982E-05, 0.9999999, -0.01824478, 0.003997383, -0.004202627, -0.1081261, 1.004873, 0.01160533, -0.003467455, -0.3019223, 0.3136774, 0.9970379
225, -0.2150124, -0.327614, 1.028527, 0.02427662, -0.004578119, -0.02969013, 0.9992539, -0.0002192729, 0.0001875381, 3.144424E-05, 0.9999999, -0.03290512, -0.002111089, 0.001905847, -0.1078765, 1.008096, 0.0152459, -0.004453461, -0.2980673, 0.3164072, 0.9841371
233, -0.2150035, -0.327618, 1.02853, 0.02428111, -0.004577911, -0.02968748, 0.9992539, -0.000231622, 0.0001748271, -6.00639E-06, 1, -0.02190987, -0.01188464, -0.006646017, -0.1049167, 1.007796, 0.01550325, -0.001637974, -0.3010406, 0.3145819, 0.9865547
241, -0.2149988, -0.3276166, 1.028516, 0.02427344, -0.004598138, -0.02965709, 0.9992548, -0.000231622, 0.0001748271, -6.00639E-06, 1, -0.02190987, -0.01188464, -0.006646017, -0.109328, 1.01582, 0.007020714, -0.002618558, -0.3019536, 0.3182222, 0.953158
250, -0.2149985, -0.3276153, 1.028517, 0.02426236, -0.004592077, -0.02967336, 0.9992547, -0.0002425855, 0.0001572317, 9.943615E-07, 0.9999999, -0.0365702, 0.005219078, -0.01519788, -0.109328, 1.01582, 0.007020714, -0.002577397, -0.3010029, 0.3154937, 0.9648271
258, -0.2149969, -0.3276123, 1.028514, 0.02428341, -0.004592438, -0.02968571, 0.9992537, -0.0003151889, 0.0001562083, -1.73857E-05, 0.9999999, -0.02801834, -0.01554973, -0.006646017, -0.1081092, 1.012955, 0.01320912, -0.002577397, -0.3010029, 0.3154937, 0.9648271
266, -0.2150019, -0.3276167, 1.028522, 0.02423923, -0.00460973, -0.02969765, 0.9992544, -0.0003320386, 0.0001832077, -1.528143E-05, 0.9999998, -0.01580139, -0.008219562, -0.006646017, -0.1058904, 1.012681, 0.01420158, -0.000721843, -0.2991695, 0.3145791, 0.9667955
274, -0.2150019, -0.3276232, 1.028517, 0.02426332, -0.004590574, -0.02969443, 0.999254, -0.0002706528, 0.0001331505, -2.350978E-05, 0.9999999, -0.02435326, -0.008219562, -0.01519788, -0.1049136, 1.008263, 0.01402194, -0.0007369309, -0.2991685, 0.3154885, 0.9847842
282, -0.2150017, -0.327622, 1.028513, 0.02425081, -0.004560027, -0.02971984, 0.9992536, -0.0002651149, 0.0001145707, -3.979995E-05, 1, -0.01213631, -0.005776173, -0.009089405, -0.1103455, 1.007161, 0.0147618, -0.005316125, -0.3018492, 0.3136821, 0.9868198
291, -0.2150062, -0.3276093, 1.028519, 0.02428865, -0.004581899, -0.02967767, 0.9992539, -0.0002651149, 0.0001145707, -3.979995E-05, 1, -0.0365702, 0.0003322999, -0.01397618, -0.1046643, 1.009734, 0.01473863, -0.002521147, -0.3000533, 0.3118557, 0.9789963
299, -0.2150057, -0.3276087, 1.028506, 0.02427264, -0.004586763, -0.02968718, 0.999254, -0.0002571538, 0.0001079706, -5.175965E-05, 0.9999998, -0.0365702, 0.0003322999, -0.01397618, -0.1046643, 1.009734, 0.01473863, -0.002521147, -0.3000533, 0.3118557, 0.9789963
308, -0.2150067, -0.3276176, 1.028501, 0.02427665, -0.004578263, -0.02968005, 0.9992541, -0.0003038435, 9.8616E-05, -4.370965E-05, 1, -0.02313156, 0.007662467, -0.009089405, -0.1049028, 1.012403, 0.01322496, -0.003492066, -0.2961994, 0.313676, 0.9683629
316, -0.2150093, -0.3276183, 1.028525, 0.02428542, -0.004568497, -0.02968539, 0.9992538, -0.0003408685, 0.0001255407, -5.644886E-05, 0.9999999, -0.03168342, -0.002111089, -0.006646017, -0.1098555, 1.006939, 0.01697808, 0.002016887, -0.2983233, 0.3163906, 0.9877763
325, -0.2150079, -0.3276081, 1.028516, 0.02427496, -0.00458921, -0.02968965, 0.9992539, -0.0003561289, 7.777696E-05, -7.252157E-05, 0.9999999, -0.02557495, -0.01310634, -0.01641957, -0.1061569, 1.003132, 0.0121268, -0.002589703, -0.2981415, 0.315493, 1
332, -0.2150104, -0.3276122, 1.028512, 0.02425161, -0.004598696, -0.02969237, 0.9992543, -0.0003023157, 8.6635E-05, -7.813168E-05, 1, -0.03046173, -0.002111089, -0.009089405, -0.1036786, 1.009477, 0.01523628, -0.005316125, -0.3018492, 0.3136821, 0.9803925
342, -0.2150142, -0.3276232, 1.028511, 0.0243113, -0.004592543, -0.02969564, 0.9992528, -0.0003388026, 0.0001062197, -0.0001010332, 0.9999999, -0.04267867, -0.01310634, -0.01275449, -0.1051605, 1.006265, 0.01060948, -0.004415082, -0.299977, 0.3145888, 0.9927965
349, -0.2150131, -0.3276288, 1.028518, 0.02425089, -0.004597416, -0.02967641, 0.9992548, -0.0003388026, 0.0001062197, -0.0001010332, 0.9999999, -0.04267867, -0.01310634, -0.01275449, -0.1051605, 1.006265, 0.01060948, -0.004415082, -0.299977, 0.3145888, 0.9927965
358, -0.2150019, -0.3276156, 1.028519, 0.02427167, -0.004592033, -0.02969807, 0.9992537, -0.0003288421, 9.294704E-05, -7.749279E-05, 1, -0.0365702, -0.01799312, -0.009089405, -0.1083615, 1.011017, 0.01397375, -0.0007520188, -0.2991674, 0.3163979, 0.9723845
